time_ms,node_id,name,type,ecef_x,ecef_y,ecef_z,altitude_km,orbit_id,ip
0,GS_00,GroundStation-0,GS,0,0,0,0.0,0,10.0.1.1
0,GS_01,GroundStation-1,GS,10000,0,0,0.0,0,10.0.1.2
0,GS_02,GroundStation-2,GS,20000,0,0,0.0,0,10.0.1.3
0,UAV_00,Drone-0,UAV,3000,0,500,0.5,0,10.0.2.1
0,UAV_01,Drone-1,UAV,2767,2010,542,0.542,0,10.0.2.2
0,UAV_02,Drone-2,UAV,1067,3285,545,0.545,0,10.0.2.3
0,UAV_03,Drone-3,UAV,-948,2920,507,0.507,0,10.0.2.4
0,UAV_04,Drone-4,UAV,-2120,1540,462,0.462,0,10.0.2.5
0,UAV_05,Drone-5,UAV,-2520,0,452,0.452,0,10.0.2.6
0,UAV_06,Drone-6,UAV,-2314,-1681,486,0.486,0,10.0.2.7
0,UAV_07,Drone-7,UAV,-1028,-3165,532,0.533,0,10.0.2.8
0,UAV_08,Drone-8,UAV,1079,-3323,549,0.549,0,10.0.2.9
0,UAV_09,Drone-9,UAV,2593,-1884,520,0.521,0,10.0.2.10
0,SAT_00,Starlink-0,SAT,-1250000,0,500000,500.0,1,10.0.3.1
0,SAT_01,Starlink-1,SAT,-1200000,0,500000,500.0,1,10.0.3.2
0,SAT_02,Starlink-2,SAT,-1150000,0,500000,500.0,1,10.0.3.3
0,SAT_03,Starlink-3,SAT,-1100000,0,500000,500.0,1,10.0.3.4
0,SAT_04,Starlink-4,SAT,-1050000,0,500000,500.0,1,10.0.3.5
0,SAT_05,Starlink-5,SAT,-1000000,0,500000,500.0,1,10.0.3.6
0,SAT_06,Starlink-6,SAT,-950000,0,500000,500.0,1,10.0.3.7
0,SAT_07,Starlink-7,SAT,-900000,0,500000,500.0,1,10.0.3.8
0,SAT_08,Starlink-8,SAT,-850000,0,500000,500.0,1,10.0.3.9
0,SAT_09,Starlink-9,SAT,-800000,0,500000,500.0,1,10.0.3.10
0,SAT_10,Starlink-10,SAT,-750000,0,500000,500.0,1,10.0.3.11
0,SAT_11,Starlink-11,SAT,-700000,0,500000,500.0,1,10.0.3.12
0,SAT_12,Starlink-12,SAT,-650000,0,500000,500.0,1,10.0.3.13
0,SAT_13,Starlink-13,SAT,-600000,0,500000,500.0,1,10.0.3.14
0,SAT_14,Starlink-14,SAT,-550000,0,500000,500.0,1,10.0.3.15
0,SAT_15,Starlink-15,SAT,-500000,0,500000,500.0,1,10.0.3.16
0,SAT_16,Starlink-16,SAT,-450000,0,500000,500.0,1,10.0.3.17
0,SAT_17,Starlink-17,SAT,-400000,0,500000,500.0,1,10.0.3.18
